sku,category_name,category_id
SSDL0297,Sabun Shampoo,7
SSDL0279,Sabun Shampoo,7
SSDL0321,Sabun Shampoo,7
SSLY0119,Sabun Shampoo,7
MERF0028,"Noodles, Sauces aur Meetha",61
CDFV0122,Mashroobaat,67
CCKH0084,Chai aur Coffee,20
BMNL0075,Masala,58
CDFV0143,Mashroobaat,67
CDNF0120,Mashroobaat,67
CDFV0145,Mashroobaat,67
CCTL0034,Chai aur Coffee,20
DDNP0067-24,Dairy,14
DDNP0067,Dairy,14
CDFV0124,Mashroobaat,67
DDEY0053-12,Dairy,14
ANFK0062,Anaaj,17
ANMG0192,Anaaj,17
ANMG0194,Anaaj,17
ANAD0012,Anaaj,17
DDDH0015-12,Dairy,14
DDDH0015,Dairy,14
OGKN0052-5,Oil aur Ghee,16
ANMG0191,Anaaj,17
BMSN0093,Masala,58
PCBD0052,Personal Care,29
PCBD0050,Personal Care,29
PCBD0049,Personal Care,29
LGAA0125,Laundry/Ghar ki Safayi,5
SSCI0205,Sabun Shampoo,7
CDPA0041-12,Mashroobaat,67
CDPA0041,Mashroobaat,67
OGKN0052,Oil aur Ghee,16
CDPA0037,Mashroobaat,67
SSVK0235,Sabun Shampoo,7
SNCM0044,Snacks,23
SNAB0200,Snacks,23
SNAB0226,Snacks,23
SNCN0451,Snacks,23
SNBV0318-6,Snacks,23
SNPC0449,Snacks,23
SNSO0439,Snacks,23
SNTC0450,Snacks,23
ANMG0193,Anaaj,17
SSLX0096,Sabun Shampoo,7
SSPM0252,Sabun Shampoo,7
CDMA0069,Mashroobaat,67
ANMG0195,Anaaj,17
SSH&0149,Sabun Shampoo,7
SSTM0336,Sabun Shampoo,7
SSTM0334,Sabun Shampoo,7
SSTM0338,Sabun Shampoo,7
SNOO0501,Snacks,23
SNOO0502,Snacks,23
SNPC0467,Snacks,23
SNTC0506,Snacks,23
SNGA0508,Snacks,23
SNBK0510,Snacks,23
CDTN0007,Mashroobaat,67
CCTL0083,Chai aur Coffee,20
ANMG0114,Anaaj,17
NSSA0129,"Noodles, Sauces aur Meetha",61
ANMG0031,Anaaj,17
NSKO0018,"Noodles, Sauces aur Meetha",61
BMSN0054,Masala,58
NSBP0144,"Noodles, Sauces aur Meetha",61
ANAK0027,Anaaj,17
GSKX0050,Ghar ka Samaan,4
GSKX0052,Ghar ka Samaan,4
ANAK0034,Anaaj,17
ANMG0111,Anaaj,17
BSLC0174,Bachon ka Samaan,8
BSNN0141,Bachon ka Samaan,8
BSNN0142,Bachon ka Samaan,8
BSNO0140,Bachon ka Samaan,8
BEGY0115,Beauty,6
BEOA0039,Beauty,6
BEOA0040,Beauty,6
GSMN0064,Ghar ka Samaan,4
LGAL0078,Laundry/Ghar ki Safayi,5
LGST0113,Laundry/Ghar ki Safayi,5
LGSE0062,Laundry/Ghar ki Safayi,5
